rank,ticker,name,exchange,url,business_activity,customer_segment,business_model_type,services_share_estimate,sic_industry
1,CRAI,"CRA INTERNATIONAL, INC.",NASDAQ,https://www.crai.com,"economic consulting, financial consulting, strategic consulting","major law firms, corporations, accounting firms",services,1.0,Consulting Services
2,FORR,"FORRESTER RESEARCH, INC.",NASDAQ,https://www.forrester.com,"strategic consulting, research services, technology insights","Fortune 100 companies, technology executives, B2B marketing teams",services,0.85,Consulting Services
3,BAH,Booz Allen Hamilton Holding Corp,NYSE,https://www.boozallen.com,"cybersecurity strategy, digital transformation, artificial intelligence solutions","civil government, defense, intelligence",services,0.85,Consulting Services
4,ICFI,"ICF International, Inc.",NASDAQ,https://www.icf.com,"AI solutions and services, digital modernization, data and analytics","U.S. federal government, state and local government, utilities",services,0.85,Consulting Services
5,RGP,"RESOURCES CONNECTION, INC.",NASDAQ,https://rgp.com,"business transformation consulting, finance transformation, digital transformation","Fortune 100 companies, government agencies, mid-market businesses",services,0.85,Consulting Services
6,FCN,"FTI CONSULTING, INC",NYSE,https://www.fticonsulting.com,"antitrust consulting, artificial intelligence advisory, blockchain & digital assets consulting","private equity firms, law firms, Fortune Global 100 corporations",services,0.9,Consulting Services
7,DLHC,DLH Holdings Corp.,NASDAQ,https://www.dlhcorp.com,"digital transformation, cybersecurity, AI/ML/RPA applications","federal programs, civilian and military customers",services,0.85,Specialty Business Services
8,MMS,"MAXIMUS, INC.",NYSE,https://www.maximus.com,"customer experience solutions, contact center solutions and services, digital government services","federal government agencies, state and local government agencies, specialized markets",services,0.9,Specialty Business Services
9,GLCP,GLOBAL LEADERS CORP,PNK,https://www.globalleaders.com.hk,"management consultancy services, performance management consultation, strategic planning consultancy","small and medium enterprises, startup companies",services,0.9,Consulting Services
10,LICN,Lichen International Ltd,NASDAQ,https://www.lichenzx.com,"listing advisory, mergers and acquisitions, equity investment","Chinese enterprises, international businesses",services,0.85,Specialty Business Services
